loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
896,20869632,1,0,0
897,20872972,1,0,0
898,20876312,2,0,0
899,20879660,2,-0,0
900,20883024,2,-0,0
901,20886396,2,0,0
902,20889752,3,0,0
903,20893100,3,0,0
904,20896464,3,-0,0
905,20899832,3,-0,0
906,20903216,3,-0,0
907,20906600,3,0,0
908,20909956,3,0,0
909,20913316,4,0,0
910,20916660,4,0,0
911,20920024,3,0,0
912,20923408,3,-0,-0
913,20930012,2,-1,-1
914,20933392,2,-0,-1
915,20936788,1,-0,-0
916,20940192,-1,0,-0
917,20943576,-3,0,-1
918,20946996,-3,0,-1
919,20950392,-4,0,-1
920,20953792,-5,-0,-1
921,20957224,-6,-0,-1
922,20960648,-7,-1,-1
923,20964060,-8,-1,-0
924,20967484,-8,-1,0
925,20970876,-8,-1,0
926,20974276,-8,-1,0
927,20977692,-8,-1,-0
928,20981084,-8,-1,-0
929,20984476,-7,-2,-0
930,20987872,-6,-2,-0
931,20991268,-5,-1,-0
932,20994660,-4,-1,-1
933,20998064,-3,-1,-0
934,21001460,-2,-2,-1
935,21004848,-1,-2,-1
936,21008224,0,-2,-1
937,21014804,2,-2,-1
938,21018188,3,-1,-2
939,21021584,5,1,-2
940,21024964,7,3,-2
941,21028340,8,4,-2
942,21031720,10,5,-2
943,21035112,11,5,-2
944,21038508,12,3,-2
945,21041916,12,1,-2
946,21045316,12,-1,-1
947,21048736,13,-2,-0
948,21052148,12,-3,1
949,21055556,12,-4,2
950,21058964,13,-4,3
951,21062364,13,-3,4
952,21065788,14,-2,5
953,21069180,14,-1,6
954,21072568,14,-1,6
955,21075980,14,-1,7
956,21079384,14,-0,7
957,21082780,14,0,7
958,21086164,14,1,7
959,21089544,14,0,6
960,21092924,13,-0,5
961,21096336,13,-0,5
962,21106016,9,-2,4
963,21109392,7,-2,4
964,21112776,6,-2,4
965,21116168,6,-1,3
966,21119552,6,-0,3
967,21122944,5,0,3
968,21126308,3,0,3
969,21129672,3,0,3
970,21133036,3,1,4
971,21136424,3,1,4
972,21139784,3,1,5
973,21143156,2,1,5
974,21146524,2,1,6
975,21149892,2,1,6
976,21153256,3,1,7
